name,lei,title,cusip,isin,ticker,other_identifier,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind,isCashCollateral,isNonCashCollateral,isLoanByFund
ALTICE FRANCE SA,5493001ZMCICV4N02J21,ALTICE FRANCE SFRFP 5 1/2 10/15/29,02156LAH4,US02156LAH42,SFRFP,,667000,PA,USD,553610,0.12037843855,Long,DBT,CORP,FR,Y,2,2029-10-15,Fixed,5.5,Y,N,N,N,N,N
Press Ganey 11/24 TLB,N/A,Press Ganey 11/24 TLB,05477JAD3,,,LX254200,2049611.46,PA,USD,2052173.47,0.446230086077,Long,LON,CORP,US,N,2,2031-04-30,Floating,7.5768084,N,N,N,N,N,N
Neuberger Berman CLO Ltd,549300IWMW28G8CR9G28,NEUB 2018-27A ER,64131UAL5,US64131UAL52,NEUB,,2000000,PA,USD,2041759,0.443965535875,Long,ABS-CBDO,CORP,KY,Y,2,2038-07-15,Floating,11.0061,N,N,N,N,N,N
TRUGREEN LP,549300QNRP2MNHR3QM19,TRUGREEN LIMITED PARTNERSHIP TL,89787RAH5,US89787RAH57,SVMSTR,LX190495,175479.81,PA,USD,166158.32,0.036129909347,Long,LON,CORP,US,N,2,2027-11-02,Floating,8.4268116,N,N,N,N,N,N
Instructure/Icon Parent 9/24 TL,N/A,Instructure/Icon Parent 9/24 TL,45115DAB4,,,LX239634,1655527.75,PA,USD,1656885.28,0.360277565187,Long,LON,CORP,US,N,2,2031-11-13,Floating,7.20516959,N,N,N,N,N,N
TRUGREEN LP,549300QNRP2MNHR3QM19,TRUGREEN LIMITED PARTNERSHIP TL,89787RAK8,US89787RAK86,SVMSTR,LX190497,125391.85,PA,USD,98275.86,0.021369365752,Long,LON,CORP,US,N,2,2028-11-02,Floating,13.0412592,N,N,N,N,N,N
Univar/Windsor 2/25 (USD) TLB,N/A,Univar/Windsor 2/25 (USD) TLB,97360BAH8,,,LX259143,1324974.66,PA,USD,1324643.42,0.288034006856,Long,LON,CORP,US,N,2,2030-08-01,Floating,7.0715088,N,N,N,N,N,N
Apidos CLO Ltd,5493000BLHDFQUOR8F12,APID 2023-45A ER,037977AG0,US037977AG03,APID,,500000,PA,USD,500000,0.108721336816,Long,ABS-CBDO,CORP,JE,Y,2,2038-07-26,Floating,,N,N,N,N,N,N
Casa Systems T/L (05/23),N/A,Casa Systems T/L (05/23),14712WAE9,,,LX212725,498332.89,PA,USD,0.05,1.0872e-8,Long,LON,CORP,US,N,2,2027-12-20,Floating,12.26049839,Y,N,N,N,N,N
Rad CLO Ltd,N/A,RAD 2019-4A ER,749985AA5,US749985AA58,RAD,,2300000,PA,USD,2293566.9,0.498719318893,Long,ABS-CBDO,CORP,KY,Y,2,2032-04-25,Floating,10.7817696,N,N,N,N,N,N
